"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%4) - 0.5 + (Event #/(4956 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
177244,109666,127,152690,99153,120,2204,1224,18,0.634154,185,200,0,-36,50,0,138,104,0,998,639,0,2.08946
183756,137587,111,129690,106335,112,1449,999,0,2.63456,418,332,0,218,152,0,363,305,0,2509,1738,32,2.09141
514041,247200,156,283918,145813,152,5327,2697,57,0.634961,227,205,0,-24,68,0,112,83,0,888,465,0,2.09532
221979,135793,125,225807,173482,122,186,128,0,-0.364434,109,120,0,300,296,0,97,127,0,485,338,0,2.09922
214093,160231,111,93095,78310,112,270,283,0,-0.36282,243,175,0,183,89,0,-2,56,0,500,371,0,2.14997
150256,92214,126,251229,127670,135,1110,663,0,0.638188,226,188,0,-3,61,0,-43,50,0,146,89,0,2.16558
322788,216103,123,117589,78368,122,1054,601,0,2.6394,199,154,0,-126,17,0,2,83,0,723,475,0,2.18022
312267,181094,128,235344,166808,124,1089,649,0,1.64,448,354,0,33,94,0,287,194,0,1166,848,0,2.19779
366804,228651,127,94526,65629,123,150,75,0,0.640609,82,120,0,117,83,0,9,59,0,303,222,0,2.19876
158358,130776,118,107952,89323,110,363,286,0,1.64081,-44,35,0,-48,66,0,21,57,0,114,75,0,2.19974
411058,245056,130,161366,104757,126,157,128,0,0.641416,65,166,0,-1,51,0,82,80,0,115,140,0,2.21145
172029,142166,108,151448,122093,115,1421,1039,7,-0.357979,-75,38,0,-32,64,0,120,91,0,2,40,0,2.21828
274465,169207,133,128275,74606,126,775,423,0,0.642223,67,143,0,-27,55,0,102,87,0,463,249,0,2.22023
246486,168171,126,104763,71261,115,1069,713,0,0.64303,32,154,0,-73,60,0,84,75,0,487,370,0,2.24756
322568,218328,126,88791,63465,118,989,620,0,2.64343,83,127,0,-65,45,0,60,71,0,383,195,0,2.25634
261207,184790,122,95928,65880,119,1408,864,0,1.64485,114,98,0,-105,89,0,7,38,0,299,302,0,2.27781
429271,263783,134,226241,132852,136,2765,1277,42,2.64505,166,238,0,-37,66,0,54,124,0,883,596,0,2.27879
427947,222223,157,342682,133743,155,7131,3408,64,-0.354751,247,215,0,-23,51,0,170,103,0,972,516,0,2.28465
423197,231416,133,237043,135187,146,5308,2488,59,1.64565,475,357,0,29,89,0,157,136,0,1254,830,0,2.2866
255544,158851,123,104574,68428,120,2208,1226,27,2.64585,152,109,0,-70,60,0,116,176,0,1138,696,0,2.2905
164367,135134,117,136336,113363,112,268,146,0,0.646258,129,192,0,98,115,0,-77,46,0,-7,59,0,2.29245
410790,240940,131,313834,187882,137,6930,3637,60,1.64646,357,467,0,3,64,0,218,133,0,1572,989,0,2.30319
336569,233911,125,146175,100839,123,1172,712,0,2.64666,148,128,0,31,58,0,174,99,0,581,359,0,2.30319
352801,232548,141,111740,70244,128,1514,920,0,1.64807,97,153,0,53,61,0,139,134,0,916,641,0,2.33539
