"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%5) - 0.5 + (Event #/(7059 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
444378,293347,130,217010,135543,138,1567,756,0,1.58173,534,522,0,-44,45,0,429,267,0,2642,1638,35,1.33255
476362,242801,147,337995,187379,143,5261,3112,52,3.58201,921,832,0,174,97,0,714,372,0,4976,2964,51,1.33567
350806,229216,133,175478,113712,128,1051,634,0,-0.417847,379,384,0,-159,24,0,302,153,0,1720,1062,13,1.33983
421751,270691,141,155406,92814,135,1708,781,0,-0.417139,559,481,0,10,54,0,309,218,0,2775,1650,36,1.35856
241747,160416,139,168141,101013,125,892,388,0,0.583711,232,228,0,48,41,0,150,113,0,1328,842,0,1.37416
332038,201430,136,175168,105340,131,1906,981,0,3.58555,529,492,0,31,101,0,418,261,0,3000,1691,38,1.40225
181294,133798,124,255059,200634,118,434,339,0,3.58626,516,439,0,222,144,0,87,139,0,652,611,0,1.42305
155291,130301,108,143407,120290,109,276,141,0,0.586544,194,179,0,107,94,0,42,46,0,155,210,0,1.44074
214986,144201,133,161519,110632,118,153,113,0,3.58697,76,95,0,71,63,0,128,64,0,379,239,0,1.4449
217934,135806,125,97814,77365,113,343,214,0,2.58754,264,309,0,-185,19,0,85,96,0,1067,951,0,1.44698
187160,144743,129,60036,45664,113,35,87,0,3.58768,212,200,0,58,68,0,44,71,0,451,259,0,1.45114
271356,197352,126,90159,63879,113,3486,2294,42,-0.412181,658,475,0,35,92,0,377,359,0,3001,2105,36,1.45218
403929,270218,125,178875,118451,128,255,186,0,0.58796,161,249,0,106,119,0,211,96,0,390,276,0,1.45426
486033,267842,153,181787,98060,135,1944,987,0,1.5881,632,536,0,-11,123,0,382,237,0,2661,1350,36,1.45842
214857,166790,113,65558,52520,108,516,351,0,2.58824,82,171,0,-72,68,0,91,89,0,724,488,0,1.4605
384248,249879,128,179868,106221,130,797,515,0,3.58839,434,392,0,89,71,0,292,189,0,2095,1304,25,1.4605
169415,98606,120,205076,122450,124,434,238,0,0.588669,462,385,0,13,56,0,248,166,0,1733,1036,9,1.46362
298368,201021,127,194591,121940,127,750,409,0,1.58881,761,506,0,-25,68,0,388,301,0,2763,1727,36,1.46883
